gene_id,TaxaID,correlation,p_value,fdr,abs_correlation,comparison_name,base_treatment,comparison_treatment
si:ch211-39i2.2,Acinetobacter,0.2844596847280082,9.99000999000999e-4,0.01908091908091908,0.2844596847280082,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
wdr31,Tundrisphaera,-0.26679212056577245,0.03496503496503497,0.05474034162558753,0.26679212056577245,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
snupn,Acinetobacter,0.25876450673898665,0.00199800199800199,0.01908091908091908,0.25876450673898665,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
rbp4l,Comamonadaceae Genus,-0.20625305525232948,0.02197802197802198,0.0477022977022977,0.20625305525232948,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
ltb4r2a,Vampirovibrionaceae Genus,0.9451885884191372,0.02297702297702297,0.04670739096968605,0.9451885884191372,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
kif26ab,Vampirovibrionaceae Genus,0.9231764776650724,0.00499500499500499,0.02294002294002294,0.9231764776650724,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
ciita,Vampirovibrionaceae Genus,0.8926200852994294,0.01998001998001998,0.0427159047848703,0.8926200852994294,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
LOC141385564,Vampirovibrionaceae Genus,0.8789555010926264,0.02697302697302697,0.04812453733317042,0.8789555010926264,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
LOC101885672,Vampirovibrionaceae Genus,0.8754090751150495,0.02997002997002997,0.05022005022005022,0.8754090751150495,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
si:ch211-284e13.11,Vampirovibrionaceae Genus,0.8625761880419458,0.00799200799200799,0.02872489829011568,0.8625761880419458,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
psmd5,Vampirovibrionaceae Genus,0.8620110922409612,0.02197802197802198,0.04580293655923909,0.8620110922409612,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
phf10,Vampirovibrionaceae Genus,0.8578473910743986,0.03596403596403597,0.05438463975049341,0.8578473910743986,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
ifi44a7,Vampirovibrionaceae Genus,0.857561780305793,0.01098901098901099,0.03206205559146736,0.857561780305793,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
ftr54,Vampirovibrionaceae Genus,0.8441305873883327,0.04195804195804196,0.0571735956351341,0.8441305873883327,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
ccl38a.4,Vampirovibrionaceae Genus,0.8367190569993204,0.07192807192807193,0.07858221074080106,0.8367190569993204,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
si:ch211-217k17.12,Rubrivivax,0.8344320490026269,0.00799200799200799,0.02872489829011568,0.8344320490026269,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
ifi44a8,Vampirovibrionaceae Genus,0.8286951532190862,0.04695304695304695,0.06033344893448519,0.8286951532190862,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
paf1,Vampirovibrionaceae Genus,0.8283945089614306,0.03296703296703297,0.05308976737548166,0.8283945089614306,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
pex16,Vampirovibrionaceae Genus,0.8256643962399991,0.02797202797202797,0.04885255589480941,0.8256643962399991,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
irf1b,Vampirovibrionaceae Genus,0.8186188349760908,0.02197802197802198,0.04580293655923909,0.8186188349760908,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
zgc:113265,Vampirovibrionaceae Genus,0.8180836631128536,0.04095904095904096,0.05674772155219083,0.8180836631128536,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
npsn,Vampirovibrionaceae Genus,0.8174705584404314,0.02697302697302697,0.04812453733317042,0.8174705584404314,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
LOC101882795,Vampirovibrionaceae Genus,0.8172532576524002,0.05894105894105894,0.07027587796818566,0.8172532576524002,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
ccl32b.3,Vampirovibrionaceae Genus,0.8149327593144767,0.00599400599400599,0.02436907354940141,0.8149327593144767,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
psmd1,Vampirovibrionaceae Genus,0.8113089122896592,0.03696303696303696,0.05489121656786327,0.8113089122896592,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
pim2,Vampirovibrionaceae Genus,0.8108722580154069,9.99000999000999e-4,0.01238761238761238,0.8108722580154069,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
etv7,Vampirovibrionaceae Genus,0.810249358704173,0.01998001998001998,0.0427159047848703,0.810249358704173,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
si:ch211-212k18.15,Vampirovibrionaceae Genus,0.8076278472813396,0.02897102897102897,0.04989454989454989,0.8076278472813396,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
zgc:194655,Rubrivivax,0.8026427300286032,0.00699300699300699,0.02668101129639591,0.8026427300286032,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
dlc,Vampirovibrionaceae Genus,0.8018411276442271,0.01698301698301698,0.03936250665222628,0.8018411276442271,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
polr2b,Vampirovibrionaceae Genus,0.801345496930235,0.04895104895104895,0.06131242494878859,0.801345496930235,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
LOC100330485,Vampirovibrionaceae Genus,0.7968384004817456,0.08591408591408592,0.09028259875717504,0.7968384004817456,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
stx17,Vampirovibrionaceae Genus,0.7955004829311134,0.01298701298701298,0.03426360873169384,0.7955004829311134,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
pim2,Rubrivivax,0.7948633824896465,0.01898101898101898,0.04202939917225631,0.7948633824896465,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
cd40,Vampirovibrionaceae Genus,0.7928781496630339,0.00499500499500499,0.02294002294002294,0.7928781496630339,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
si:dkey-27b3.4,Vampirovibrionaceae Genus,0.7923719615627709,0.00299700299700299,0.01858141858141858,0.7923719615627709,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
ubfd1,Vampirovibrionaceae Genus,0.792030368500956,0.06693306693306693,0.07614403944679174,0.792030368500956,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
LOC101886348,Vampirovibrionaceae Genus,0.7881901069060739,0.02397602397602397,0.04719090433376147,0.7881901069060739,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
si:dkey-16l2.20,Rubrivivax,0.7864563709289298,0.00199800199800199,0.01708636191394812,0.7864563709289298,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
si:ch211-284e13.11,Rubrivivax,0.785876690711421,0.01598401598401598,0.03848578605860159,0.785876690711421,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
ms4a17a.11,Vampirovibrionaceae Genus,0.7851542785467478,0.04195804195804196,0.0571735956351341,0.7851542785467478,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
LOC137496851,Vampirovibrionaceae Genus,0.7762190407293104,0.02397602397602397,0.04719090433376147,0.7762190407293104,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
cxcl-c13b,Vampirovibrionaceae Genus,0.7757842085550564,0.08491508491508491,0.08999547461085923,0.7757842085550564,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
zgc:194655,Vampirovibrionaceae Genus,0.7748644491057636,0.00199800199800199,0.01708636191394812,0.7748644491057636,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
dbf4,Vampirovibrionaceae Genus,0.773228469605569,0.01698301698301698,0.03936250665222628,0.773228469605569,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
srsf9,Vampirovibrionaceae Genus,0.7723055339055617,0.02597402597402597,0.04812453733317042,0.7723055339055617,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
si:ch211-9d9.1,Vampirovibrionaceae Genus,0.7703832006206556,0.04495504495504495,0.05930239972793164,0.7703832006206556,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
psmd4b,Vampirovibrionaceae Genus,0.7697463632184575,0.02797202797202797,0.04885255589480941,0.7697463632184575,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
ogfr2,Vampirovibrionaceae Genus,0.7694559917832612,0.02697302697302697,0.04812453733317042,0.7694559917832612,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
psmd6,Vampirovibrionaceae Genus,0.7692008993885221,0.03896103896103896,0.05650489861016176,0.7692008993885221,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
nsfl1c,Vampirovibrionaceae Genus,0.7678193238699217,0.03596403596403597,0.05438463975049341,0.7678193238699217,A- T- P- vs A+ T+ P+,A- T- P-,A+ T+ P+
